episode,reward,epsilon,violations,scenario
72,267.5126391795304,0.3317758926502345,0,city_stop_go
73,387.6114371013375,0.32679925426048095,0,mixed_urban
74,147.73863072938317,0.3218972654465737,0,highway_cruise
75,278.5358927033017,0.3170688064648751,0,city_stop_go
76,135.43025107534493,0.312312774367902,0,overtaking
77,130.48066655747718,0.30762808275238346,0,overtaking
78,252.50297512038546,0.3030136615110977,0,city_stop_go
79,194.02973917843704,0.29846845658843124,0,highway_cruise
80,131.8671232970113,0.2939914297396048,43,mountain_climb
81,245.50458850421006,0.28958155829351073,0,city_stop_go
82,387.4002408905873,0.2852378349191081,0,mixed_urban
83,19.7611416518548,0.28095926739532145,39,mountain_climb
84,62.107700344659705,0.2767448783843916,0,highway_cruise
85,145.01731207689122,0.27259370520862575,0,highway_cruise
86,380.5967786760772,0.26850479963049634,0,mixed_urban
87,142.22040388228697,0.26447722763603887,0,overtaking
88,204.941292211658,0.2605100692214983,0,highway_cruise
89,113.86915885019381,0.2566024181831758,43,mountain_climb
90,298.5417080344753,0.2527533819104282,0,city_stop_go
91,98.88101294672448,0.24896208118177174,44,mountain_climb
92,117.86511138453622,0.24522764996404517,35,mountain_climb
93,159.4012320855729,0.2415492352145845,0,overtaking
94,101.78340570648014,0.23792599668636571,19,mountain_climb
95,117.1518928273167,0.23435710673607021,0,overtaking
96,78.3632096655063,0.23084175013502917,0,overtaking
97,101.07611276290929,0.22737912388300371,0,highway_cruise
98,186.9646825150207,0.22396843702475866,0,highway_cruise
99,379.4620226187591,0.22060891046938727,0,mixed_urban
100,135.87155260068147,0.21729977681234647,44,mountain_climb
101,389.5074498912796,0.21404028016016127,0,mixed_urban
102,47.85793757963091,0.21082967595775884,45,mountain_climb
103,372.5985634231922,0.20766723081839245,0,mixed_urban
104,182.06045277642227,0.20455222235611656,0,highway_cruise
105,224.03715992342248,0.2014839390207748,0,highway_cruise
106,206.03434457030838,0.19846167993546318,0,highway_cruise
107,218.04455313876412,0.19548475473643123,0,highway_cruise
108,305.62298795572747,0.19255248341538475,0,city_stop_go
109,68.05554919431768,0.18966419616415398,0,highway_cruise
110,152.43293151827524,0.18681923322169167,0,overtaking
111,215.07343918416763,0.1840169447233663,0,highway_cruise
112,216.45470992396108,0.1812566905525158,0,city_stop_go
113,306.5150388287868,0.17853784019422808,0,city_stop_go
114,293.5705912982564,0.17585977259131466,0,city_stop_go
